algorithm,input_size,cost,runtime
brute_restart,8,122.90073067989336,0:00:00.033334
random,8,224.40507418608473,0:00:00.000022
greedy,8,125.20716369102868,0:00:00.000005
random_restart,8,120.09293737047159,0:00:00.122969
brute_force,6,121.78745287044687,0:00:00.000504
brute_restart,6,121.78745287044687,0:00:00.000524
random,6,133.79035222552503,0:00:00.000009
greedy,6,118.96891407553862,0:00:00.000003
random_restart,6,118.627821222467,0:00:00.129369
brute_force,8,64.28930720237605,0:00:00.037051
brute_restart,8,64.28930720237605,0:00:00.031745
random,8,107.45969652637942,0:00:00.000014
greedy,8,62.21000621172014,0:00:00.000004
random_restart,8,56.27195470071149,0:00:00.096392
brute_force,8,192.4749315944974,0:00:00.036518
brute_restart,8,192.4749315944974,0:00:00.032714
random,8,300.185068800883,0:00:00.000016
greedy,8,247.60670136369276,0:00:00.000006
random_restart,8,186.47626435792102,0:00:00.131310
brute_force,8,85.76579654571638,0:00:00.036344
brute_restart,8,85.76579654571638,0:00:00.034602
random,8,112.52553884654483,0:00:00.000023
greedy,8,102.42006974640977,0:00:00.000005
random_restart,8,81.28342092069838,0:00:00.132459
brute_force,4,205.5557535142479,0:00:00.000016
brute_restart,4,205.5557535142479,0:00:00.000015
random,4,296.35315299190074,0:00:00.000009
greedy,4,215.0855330320905,0:00:00.000002
random_restart,4,206.66118399925062,0:00:00.086793
brute_force,5,123.59630257145234,0:00:00.000079
brute_restart,5,123.59630257145234,0:00:00.000081
random,5,134.40613997999992,0:00:00.000009
greedy,5,139.1335417499496,0:00:00.000003
random_restart,5,113.67313927589409,0:00:00.104657
brute_force,7,59.8329928904371,0:00:00.004046
brute_restart,7,59.8329928904371,0:00:00.003966
random,7,76.7527470530865,0:00:00.000014
greedy,7,72.95113870105892,0:00:00.000004
random_restart,7,53.24945640853477,0:00:00.113478
brute_force,8,298.536068051946,0:00:00.036623
brute_restart,8,298.536068051946,0:00:00.035021
random,8,431.3904305692212,0:00:00.000014
greedy,8,336.51145844005276,0:00:00.000004
random_restart,8,286.8579841346567,0:00:00.139009
brute_force,8,153.36071861143188,0:00:00.036710
brute_restart,8,153.36071861143188,0:00:00.032215
random,8,264.40724574042247,0:00:00.000013
greedy,8,167.42965696636375,0:00:00.000005
random_restart,8,141.4885764882975,0:00:00.105800
